hour,total,success,no_results,other,failure_ratio_no_results,success_ratio
2026-03-12 15:00:00,98,89,7,2,0.071429,0.908163
2026-03-12 16:00:00,33,33,0,0,0.000000,1.000000
2026-03-12 19:00:00,8,8,0,0,0.000000,1.000000
2026-03-12 20:00:00,3,3,0,0,0.000000,1.000000
2026-03-12 21:00:00,27,27,0,0,0.000000,1.000000
2026-03-12 22:00:00,38,38,0,0,0.000000,1.000000
2026-03-12 23:00:00,71,71,0,0,0.000000,1.000000
2026-03-13 00:00:00,450,51,399,0,0.886667,0.113333
2026-03-13 01:00:00,554,148,405,1,0.731047,0.267148
2026-03-13 02:00:00,373,322,51,0,0.136729,0.863271
2026-03-13 03:00:00,197,182,15,0,0.076142,0.923858
2026-03-13 04:00:00,984,25,959,0,0.974593,0.025407
2026-03-13 05:00:00,1080,0,1080,0,1.000000,0.000000
2026-03-13 06:00:00,711,0,711,0,1.000000,0.000000
2026-03-13 07:00:00,1087,0,1087,0,1.000000,0.000000
2026-03-13 08:00:00,1200,0,1200,0,1.000000,0.000000
2026-03-13 09:00:00,1124,0,1124,0,1.000000,0.000000
2026-03-13 10:00:00,1200,0,1200,0,1.000000,0.000000
2026-03-13 11:00:00,762,0,762,0,1.000000,0.000000
