job_base,game,variant,variant_select,variant_simulation,variant_backprop,variant_finalmove,wins,games,winrate,avgMoves,moveTime,gamesPerMatchup,maxMoves,cpus,mem,game_numPlayers,game_numCells,game_numVertices,game_numEdges,game_numComponents,game_numPhases,game_numRows,game_numColumns,game_numCorners,game_numPlayableSites,game_avgNumDirections,game_avgNumOrthogonal,game_avgNumDiagonal,game_isStacking,game_isStochastic,game_hasHiddenInfo,game_requiresTeams,game_hasTrack,game_hasCard,game_hasHandDice,game_isVertexGame,game_isEdgeGame,game_isCellGame,game_isDeductionPuzzle,game_isSimultaneous,game_isAlternating,game_maxCount,game_maxLocalStates,game_stateSpaceLog
planned_T106_5918438,O-Pat-Kono,Alpha-Beta | NST | Implicit Minimax | Robust,Alpha-Beta,NST,Implicit Minimax,Robust,0,30,0.0,993.5,0.5,30,1000,4,7G,2,16,25,40,2,1,5,5,4,25,5.76,3.2,2.56,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T128_5918460,Kos,McBRAVE | NST | Score Bounded | MaxAvgScore,McBRAVE,NST,Score Bounded,MaxAvgScore,0,30,0.0,180.8,0.5,30,1000,5,7G,2,49,64,112,9,2,7,7,4,51,6.37,3.43,2.94,1,0,0,0,0,0,0,0,0,1,0,,,,,
planned_T142_5918474,Diagonals,UCB1 GRAVE | NST | MonteCarlo | Proportional Exp,UCB1 GRAVE,NST,MonteCarlo,Proportional Exp,0,30,0.0,64.0,0.5,30,1000,4,7G,2,49,64,112,2,1,8,8,4,64,6.56,3.5,3.06,0,0,0,0,0,0,0,1,0,0,0,,,,,
planned_T147_5918479,Bao Kiswahili (DR Congo),UCB1 GRAVE | Random | Score Bounded | Robust,UCB1 GRAVE,Random,Score Bounded,Robust,0,30,0.0,25.2,0.5,30,1000,4,7G,2,21,32,52,1,1,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
planned_T153_5918485,Choro (Acholi),McGRAVE | NST | MonteCarlo | Robust,McGRAVE,NST,MonteCarlo,Robust,0,30,0.0,65.0,0.5,30,1000,4,7G,2,21,32,52,1,2,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
planned_T156_5918488,Hus (Damara),McGRAVE | Random | Implicit Minimax | MaxAvgScore,McGRAVE,Random,Implicit Minimax,MaxAvgScore,0,30,0.0,915.6,0.5,30,1000,4,7G,2,33,48,80,1,1,4,12,4,83,6.08,3.33,2.75,0,0,0,0,1,0,0,1,0,1,0,,,,,
planned_T158_5918490,Ikibuguzo (Opening 1),Progressive Widening | NST | Implicit Minimax | Proportional Exp,Progressive Widening,NST,Implicit Minimax,Proportional Exp,0,30,0.0,60.8,0.5,30,1000,4,7G,2,21,32,52,1,4,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
planned_T160_5918492,Isolo,Implicit Minimax | MAST | Score Bounded | Proportional Exp,Implicit Minimax,MAST,Score Bounded,Proportional Exp,0,30,0.0,161.9,0.5,30,1000,4,7G,2,21,32,52,1,5,4,8,4,34,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,1,0,,,,,
planned_T177_5918509,Musoro Tsoro,McBRAVE | Random | Implicit Minimax | Proportional Exp,McBRAVE,Random,Implicit Minimax,Proportional Exp,0,30,0.0,81.8,0.5,30,1000,4,7G,2,21,32,52,1,1,4,8,4,32,5.88,3.25,2.62,0,0,0,0,1,0,0,1,0,0,0,,,,,
planned_T178_5918510,Muvalavala (Luena),McBRAVE | NST | Score Bounded | MaxAvgScore,McBRAVE,NST,Score Bounded,MaxAvgScore,0,30,0.0,73.9,0.5,30,1000,4,7G,2,15,24,38,1,2,4,6,4,41,5.67,3.17,2.5,0,0,0,0,1,0,0,1,0,1,0,,,,,
